Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win Pct.,Pick Pct.,Avg. Score,First Blood %,Matches
1,Brimstone,Controller,0.97,14.6,15,9,50.8,4.7,208,0.1,7947
2,Reyna,Duelist,1.13,17.9,15.8,4.6,50.8,9.2,247,0.1,15450
3,Fade,Initiator,0.96,14.6,15.2,6.3,50.4,2.9,202,0.1,4829
4,Phoenix,Duelist,1.11,17.3,15.5,4.9,49.9,2.3,242,0.1,3916
5,Sage,Sentinel,0.96,14.4,15,7.6,49.9,12.4,199,0.1,20879
6,Cypher,Sentinel,1.02,15,14.7,4.9,49.5,5.5,204,0.1,9241
7,Killjoy,Sentinel,1.02,14.8,14.5,3.9,49.5,6.2,206,0.2,10405
8,Raze,Duelist,1.06,17.2,16.3,5,49.4,9.8,246,0.1,16559
9,Gekko,Initiator,0.96,14.6,15.2,5,49.3,6.4,198,0.1,10757
10,Sova,Initiator,0.98,14.7,15,5.5,49.3,1.7,206,0.1,2913
11,Viper,Controller,1.01,14.9,14.8,5.7,49.2,2.0,207,0.2,3366
12,Astra,Controller,1.04,15.4,14.9,6.9,48.9,3.0,209,0.1,5122
13,Omen,Controller,1,15.4,15.3,7.5,48.8,9.1,210,0.1,15320
14,Neon,Duelist,0.99,16.4,16.5,4.4,48.8,0.9,229,0.1,1478
15,Jett,Duelist,1.07,17.4,16.2,3.9,48.7,9.9,241,0.1,16721
16,Skye,Initiator,0.96,14.7,15.3,7.8,48.6,4.8,204,0.1,8087
17,Breach,Initiator,0.94,14.5,15.4,7.1,48.2,2.6,202,0.1,4446
18,Yoru,Duelist,1.03,16.1,15.6,4.5,46.4,1.0,223,0.1,1752
19,KAY/O,Initiator,0.94,14.5,15.5,8.8,46.0,3.0,207,0.1,5100
20,Chamber,Sentinel,1.05,16.3,15.5,3,45.0,1.7,219,0.1,2915
21,Harbor,Controller,0.9,14.1,15.7,6.4,44.4,0.6,194,0.1,1013
