Rank,Agent,KD,KDA,Win %,Pick %,Avg.,Score,First Blood %,Matches
1,Neon,1.01,16.6,16.4,4.3,51.4,0.8,230,0.1,1116
2,Sage,0.96,14.5,15.1,7.7,51.4,12.3,200,0.1,18010
3,Gekko,0.97,14.8,15.2,5.1,50.7,6.5,200,0.1,9560
4,Phoenix,1.08,17.2,15.9,4.8,50.5,2.1,239,0.1,3121
5,Astra,1.06,15.6,14.7,7,50.3,3.4,213,0.1,4901
6,Raze,1.06,17.1,16.2,5,50.2,10.5,246,0.1,15349
7,Killjoy,1.03,15,14.6,3.9,50.1,6.1,207,0.2,8911
8,Brimstone,0.99,15,15.2,9.2,49.9,4.5,212,0.1,6596
9,Skye,0.97,14.8,15.2,7.8,49.1,4.9,203,0.1,7223
10,Yoru,1.05,16.5,15.7,4.6,49.0,1.0,226,0.1,1471
11,Reyna,1.13,17.8,15.8,4.5,49.0,9.2,246,0.1,13390
12,Breach,0.95,14.7,15.4,7.3,49.0,2.5,201,0.1,3609
13,Omen,1,15.2,15.2,7.6,48.7,9.4,209,0.1,13724
14,Fade,0.97,14.7,15.2,6.3,48.6,2.7,203,0.1,3934
15,Viper,1.02,15.3,15,5.9,48.4,1.6,211,0.1,2403
16,Jett,1.07,17.4,16.2,3.8,48.3,10.1,240,0.1,14742
17,Cypher,1.01,14.9,14.8,4.8,48.3,5.7,202,0.2,8288
18,Sova,0.98,15,15.2,5.5,46.2,1.5,209,0.1,2249
19,Chamber,1.07,16.4,15.3,3,46.0,1.7,221,0.1,2458
20,KAY/O,0.92,14.5,15.7,9,45.8,2.8,205,0.1,4146
21,Harbor,0.91,13.9,15.2,5.8,45.4,0.6,193,0.1,864
