Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Gekko,Initiator,0.98,14.6,15,5.3,52.1,6.8,198,0.1,8581
2,Reyna,Duelist,1.15,18,15.7,4.4,50.7,9.5,245,0.1,12018
3,Viper,Controller,1.05,15.3,14.6,5.8,50.5,1.4,212,0.2,1823
4,Sage,Sentinel,0.95,14.2,15,7.1,50.5,5.0,196,0.1,6297
5,Chamber,Sentinel,1.11,16.7,15.1,2.9,50.3,4.2,223,0.1,5344
6,Killjoy,Sentinel,1.03,14.8,14.3,3.7,50.2,8.2,204,0.2,10305
7,Brimstone,Controller,0.98,14.8,15,8.8,50.2,3.8,208,0.1,4747
8,Omen,Controller,0.99,15,15.2,7.4,50.1,8.3,205,0.1,10475
9,Raze,Duelist,1.06,17,15.9,4.9,49.4,8.5,244,0.1,10643
10,Phoenix,Duelist,1.1,17.3,15.7,4.8,49.3,2.6,241,0.1,3289
11,Jett,Duelist,1.08,17.5,16.2,3.7,49.2,10.9,238,0.1,13690
12,Skye,Initiator,0.95,14.6,15.4,8,49.0,4.5,200,0.1,5617
13,Harbor,Controller,0.94,14.3,15.2,6.1,48.8,3.2,195,0.1,4002
14,Astra,Controller,1.02,15.2,14.8,6.5,48.8,2.9,206,0.2,3601
15,Fade,Initiator,0.96,14.7,15.3,6.6,48.7,3.5,199,0.1,4443
16,Breach,Initiator,0.94,14.5,15.3,7.3,48.1,6.4,200,0.1,8003
17,Cypher,Sentinel,1.02,15.2,14.8,4.6,47.5,3.7,204,0.2,4682
18,Yoru,Duelist,1,16.1,16,4.4,46.3,1.0,219,0.1,1260
19,Neon,Duelist,0.99,16.2,16.4,4.3,46.3,1.5,228,0.1,1861
20,Sova,Initiator,0.99,14.8,15,5.6,43.4,1.6,207,0.1,2028
21,KAY/O,Initiator,0.93,14.5,15.7,9.4,43.4,2.5,206,0.1,3167
