Rank,Agent,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,0.92,12.8,13.9,4.2,51.0,6.3,189,0.2,10454
2,Brimstone,0.9,13.2,14.7,6.7,50.9,4.0,195,0.1,6687
3,Gekko,0.89,13.1,14.7,4.9,50.5,3.9,188,0.1,6564
4,Neon,0.93,14.6,15.6,4.4,50.5,3.9,213,0.1,6492
5,Breach,0.89,13.5,15.1,6,50.3,2.6,196,0.1,4390
6,Reyna,1.08,16.2,15,4.8,50.2,10.9,235,0.1,18245
7,Raze,0.98,14.8,15.1,5.2,50.2,7.1,225,0.1,11831
8,Sage,0.84,12.1,14.5,6.8,49.4,12.9,177,0.1,21532
9,Cypher,0.94,13.4,14.2,4.9,49.1,3.0,191,0.2,4928
10,Jett,1.01,15.3,15.2,4.2,48.9,5.7,222,0.1,9463
11,Omen,0.93,13.8,14.9,5.4,48.9,6.8,198,0.1,11263
12,Skye,0.86,12.7,14.7,7.6,48.9,4.5,186,0.1,7494
13,Chamber,0.98,14.4,14.7,3.5,48.5,2.4,205,0.1,3963
14,Viper,0.91,13.2,14.5,5.3,48.5,3.7,192,0.1,6122
15,Phoenix,1,14.8,14.8,4.7,48.5,4.0,219,0.1,6644
16,Astra,0.96,13.7,14.3,5.1,48.2,0.9,198,0.1,1548
17,Sova,0.89,13.1,14.6,5.4,48.0,3.8,192,0.1,6287
18,Fade,0.85,12.6,14.9,6.2,46.9,4.6,185,0.1,7680
19,Yoru,0.91,13.9,15.2,4.3,46.5,3.6,200,0.1,6062
20,KAY/O,0.84,12.7,15.1,8.4,46.5,3.6,190,0.1,6061
21,Harbor,0.84,12.6,15,5.5,46.4,1.8,183,0.1,3064
