Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Astra,Controller,1.04,15.2,14.6,5.8,52.3,1.7,208,0.1,4681
2,Phoenix,Duelist,1.11,17,15.2,4.6,51.2,3.5,240,0.1,9436
3,Brimstone,Controller,0.97,14.4,14.9,7.7,51.1,4.7,207,0.1,12661
4,Sage,Sentinel,0.91,13.4,14.7,7,50.4,9.5,190,0.1,25385
5,Fade,Initiator,0.94,14.1,15.1,6.2,50.3,3.8,198,0.1,10061
6,Raze,Duelist,1.05,16.5,15.7,5.1,50.0,7.0,242,0.1,18856
7,Reyna,Duelist,1.15,17.8,15.4,4.5,50.0,11.5,250,0.1,30922
8,Cypher,Sentinel,0.98,14.3,14.5,4.8,50.0,3.2,198,0.2,8511
9,Killjoy,Sentinel,0.99,14.2,14.3,3.9,49.9,6.9,200,0.2,18512
10,Sova,Initiator,0.96,14.3,14.8,5.4,49.9,2.6,203,0.1,7030
11,Gekko,Initiator,0.95,14.1,14.9,5,49.5,5.5,196,0.1,14695
12,Breach,Initiator,0.93,14.2,15.3,6.4,49.4,4.1,200,0.1,11105
13,Jett,Duelist,1.09,17.2,15.7,3.9,48.9,8.0,241,0.1,21464
14,Chamber,Sentinel,1.07,16.1,14.9,3.2,48.6,3.3,219,0.1,8726
15,Omen,Controller,0.97,14.8,15.2,6.3,48.5,7.5,206,0.1,20167
16,Skye,Initiator,0.91,13.7,15,7.6,48.3,4.8,193,0.1,12812
17,Neon,Duelist,1.01,16.4,16.3,4.3,48.3,2.4,231,0.1,6366
18,Viper,Controller,0.97,14.4,14.8,5.6,48.2,2.6,203,0.1,6902
19,Harbor,Controller,0.9,13.7,15.2,5.7,47.1,2.2,192,0.1,5858
20,KAY/O,Initiator,0.91,14.1,15.5,8.8,46.3,3.5,204,0.1,9279
21,Yoru,Duelist,0.97,15.2,15.6,4.3,45.5,1.7,214,0.1,4473
