Rank,Agent,KD,KDA,Win %,Pick %,Avg.,Score,First Blood %,Matches
1,Breach,0.78,11.1,14.3,5.4,54.9,1.7,167,0.1,244
2,Killjoy,0.83,11.3,13.5,4.4,54.5,4.6,173,0.2,661
3,Skye,0.79,11.5,14.4,7.2,53.0,3.4,170,0.1,491
4,Brimstone,0.82,11.8,14.4,5.9,52.4,3.2,178,0.1,464
5,Cypher,0.84,11.3,13.4,4.9,51.5,2.4,171,0.2,338
6,Yoru,0.86,12.5,14.7,4.3,51.2,6.4,180,0.1,908
7,Gekko,0.78,11.1,14.2,4.6,51.1,2.9,169,0.1,417
8,Jett,0.86,12.5,14.5,3.8,50.2,6.2,188,0.1,880
9,KAY/O,0.79,11.2,14.2,7.7,50.1,3.2,175,0.1,455
10,Fade,0.77,10.9,14.3,5.8,50.1,5.7,166,0.1,819
11,Sage,0.71,10.2,14.2,5.9,49.7,13.3,151,0.1,1905
12,Reyna,0.96,13.9,14.4,4.4,49.7,11.1,206,0.1,1578
13,Astra,0.85,11.7,13.7,4.9,49.5,0.7,179,0.1,107
14,Chamber,0.84,12,14.3,3.6,49.0,2.1,175,0.1,304
15,Raze,0.91,13.2,14.5,4.8,47.9,7.5,204,0.1,1076
16,Harbor,0.79,11.9,15.1,5.5,47.8,1.5,173,0.1,209
17,Neon,0.83,12.2,14.7,4.1,47.3,5.4,181,0.1,768
18,Sova,0.74,10.8,14.7,4.9,47.2,4.2,162,0.2,600
19,Phoenix,0.9,12.7,14.2,4.4,46.7,5.0,193,0.1,711
20,Viper,0.79,11.1,14,4.6,45.3,4.3,170,0.1,611
21,Omen,0.8,12.1,15.1,4.8,44.0,5.1,175,0.1,734
