Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win Pct.,Pick Pct.,Avg. Score,First Blood %,Matches
1,Brimstone,Controller,0.96,14.5,15.1,9.9,52.1,5.7,205,0.1,9656
2,Phoenix,Duelist,1.1,17.3,15.7,4.9,51.4,3.1,242,0.1,5298
3,Astra,Controller,1.05,15.5,14.7,7.7,51.2,2.3,211,0.1,3885
4,Sage,Sentinel,0.94,14.1,14.9,7.2,50.9,6.4,194,0.1,10785
5,Sova,Initiator,1.02,15,14.7,6.3,50.1,8.7,209,0.2,14639
6,Raze,Duelist,1.04,16.8,16.1,5.2,50.1,5.1,241,0.1,8661
7,Gekko,Initiator,0.96,14.6,15.3,5.3,50.1,6.3,196,0.1,10696
8,Reyna,Duelist,1.11,17.7,15.9,4.6,49.6,10.1,244,0.1,17119
9,Fade,Initiator,0.95,14.5,15.3,6.7,49.5,3.0,199,0.1,5037
10,Killjoy,Sentinel,1.01,14.6,14.4,3.9,49.5,10.7,201,0.2,18144
11,Cypher,Sentinel,1,14.8,14.7,5.1,49.3,3.0,200,0.2,5007
12,Skye,Initiator,0.95,14.4,15.3,7.8,49.2,2.6,200,0.1,4429
13,Omen,Controller,0.99,15,15.2,8.5,48.8,10.1,207,0.1,17140
14,Neon,Duelist,0.98,16.1,16.4,4.2,48.7,0.8,225,0.1,1307
15,Jett,Duelist,1.07,17.4,16.1,3.8,48.6,12.8,238,0.1,21625
16,Viper,Controller,0.99,14.8,15.1,5.9,47.9,0.9,203,0.2,1506
17,Chamber,Sentinel,1.06,16.3,15.3,3,45.7,1.9,219,0.1,3281
18,KAY/O,Initiator,0.92,14.4,15.6,9,45.6,3.8,203,0.1,6495
19,Breach,Initiator,0.91,14.5,15.8,7,43.7,1.2,200,0.1,2047
20,Yoru,Duelist,1.02,16.1,15.9,4.4,42.0,0.9,224,0.1,1468
21,Harbor,Controller,0.94,14.5,15.4,6.2,39.2,0.4,201,0.1,716
