Rank,Agent,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,1,14.7,14.8,8.8,51.6,10.8,207,0.1,18072
2,Phoenix,1.13,17.3,15.3,4.7,51.2,2.2,240,0.1,3711
3,Sage,0.92,13.7,14.9,7,50.7,6.5,190,0.1,10761
4,Reyna,1.16,18.1,15.6,4.5,50.6,9.8,248,0.1,16399
5,Killjoy,1.01,14.5,14.4,4,50.6,7.9,201,0.2,13170
6,Jett,1.1,17.4,15.9,3.8,50.1,10.8,240,0.1,17944
7,Raze,1.08,17,15.8,4.8,50.0,6.6,243,0.1,10997
8,Gekko,0.97,14.5,15,5.1,49.9,6.3,197,0.1,10518
9,Fade,0.97,14.7,15.1,6.3,49.2,3.6,201,0.1,6079
10,Chamber,1.09,16.3,15,3,49.2,2.6,221,0.1,4332
11,Breach,0.94,14.5,15.4,7,48.7,9.1,200,0.1,15111
12,Viper,0.99,14.7,14.9,5.8,48.1,4.1,204,0.2,6861
13,Cypher,1,14.8,14.8,4.9,47.8,4.5,201,0.1,7529
14,Skye,0.95,14.3,15.1,7.1,47.7,2.5,200,0.1,4128
15,Neon,1,16.5,16.5,4.4,47.1,2.8,231,0.1,4675
16,Yoru,1.02,16.2,15.9,4.6,46.6,1.0,222,0.1,1675
17,KAY/O,0.92,14.3,15.6,9.2,46.4,2.9,204,0.1,4835
18,Omen,0.96,14.6,15.3,6.8,45.8,2.8,202,0.1,4739
19,Astra,1.03,15.2,14.8,6.6,45.7,1.1,209,0.1,1839
20,Harbor,0.89,13.7,15.3,6,44.9,0.8,188,0.1,1410
21,Sova,0.95,14.5,15.2,5.4,44.5,1.1,204,0.1,1843
