Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Cypher,Sentinel,0.88,12.2,13.9,4.8,52.2,2.7,177,0.1,1403
2,Sage,Sentinel,0.78,11,14.1,6.2,51.7,13.5,163,0.1,6948
3,Viper,Controller,0.83,11.7,14,4.9,50.6,4.5,176,0.2,2330
4,Sova,Initiator,0.82,11.7,14.4,4.9,50.6,3.9,175,0.1,1988
5,Brimstone,Controller,0.86,12.2,14.2,6,50.6,4.4,182,0.1,2264
6,Jett,Duelist,0.94,13.8,14.7,4,50.2,5.8,204,0.1,2979
7,Killjoy,Sentinel,0.87,11.9,13.8,4.2,50.0,5.7,180,0.2,2924
8,Breach,Initiator,0.86,12.6,14.6,5.6,49.7,2.2,189,0.1,1142
9,Reyna,Duelist,1.01,14.7,14.6,4.6,49.3,11.1,218,0.1,5675
10,Neon,Duelist,0.86,13.2,15.3,4.3,49.3,4.6,195,0.1,2362
11,Phoenix,Duelist,0.92,13.4,14.5,4.3,48.9,4.5,199,0.1,2328
12,Gekko,Initiator,0.83,11.9,14.3,4.4,48.8,3.1,176,0.1,1579
13,Raze,Duelist,0.88,13.1,14.8,4.8,48.6,7.5,201,0.1,3871
14,Chamber,Sentinel,0.93,13.4,14.4,3.4,48.3,1.9,190,0.1,949
15,Yoru,Duelist,0.86,12.6,14.7,4.2,48.2,4.8,185,0.1,2444
16,Fade,Initiator,0.77,11.3,14.6,5.9,48.0,5.5,170,0.1,2839
17,Skye,Initiator,0.78,11.6,14.7,7,47.6,3.6,171,0.1,1867
18,Omen,Controller,0.85,12.4,14.6,4.8,46.5,5.4,183,0.1,2781
19,Astra,Controller,0.86,11.8,13.6,4.5,45.9,0.6,173,0.1,329
20,KAY/O,Initiator,0.77,11.3,14.8,7.5,44.9,3.4,174,0.1,1732
21,Harbor,Controller,0.75,10.6,14.2,4.8,44.6,1.1,163,0.1,549
