Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win Pct.,Pick Pct.,Avg. Score,First Blood %,Matches
1,Brimstone,Controller,1,14.8,14.8,8.8,51.4,11.3,208,0.1,16329
2,Reyna,Duelist,1.16,18.1,15.6,4.5,50.7,9.3,249,0.1,13436
3,Phoenix,Duelist,1.11,17.2,15.5,4.7,50.6,2.1,239,0.1,3047
4,Gekko,Initiator,0.97,14.5,14.9,5.1,50.6,6.5,196,0.1,9395
5,Neon,Duelist,1.03,16.9,16.4,4.5,50.6,2.9,235,0.1,4113
6,Yoru,Duelist,1.04,16.2,15.6,4.4,50.3,1.0,223,0.1,1500
7,Sage,Sentinel,0.94,13.9,14.9,7,50.0,6.0,193,0.1,8579
8,Cypher,Sentinel,1.01,14.9,14.8,5,49.8,4.8,202,0.1,6894
9,Raze,Duelist,1.06,16.8,15.8,4.8,49.6,6.7,240,0.1,9667
10,Killjoy,Sentinel,1.03,14.8,14.4,4,49.6,7.9,204,0.2,11377
11,Jett,Duelist,1.1,17.5,15.9,3.8,49.5,11.4,241,0.1,16358
12,Skye,Initiator,0.96,14.4,15,7.2,48.9,2.2,201,0.1,3176
13,Fade,Initiator,0.97,14.8,15.2,6.4,48.7,3.5,201,0.1,5042
14,Viper,Controller,0.99,14.6,14.8,5.8,48.5,3.8,204,0.2,5464
15,Sova,Initiator,0.99,14.9,15,5.5,48.3,0.9,205,0.1,1347
16,Breach,Initiator,0.94,14.5,15.4,7.1,47.9,9.6,200,0.1,13882
17,Chamber,Sentinel,1.08,16.4,15.2,3,47.8,2.6,220,0.1,3716
18,Astra,Controller,1.02,15.2,14.8,6.5,47.7,1.2,206,0.1,1691
19,Harbor,Controller,0.89,13.8,15.5,6.1,46.0,0.9,190,0.1,1271
20,Omen,Controller,0.97,14.8,15.3,7,45.9,2.5,205,0.1,3596
21,KAY/O,Initiator,0.93,14.4,15.5,9.2,45.2,2.8,204,0.1,4076
