Rank,Agent,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Gekko,0.93,13.5,14.6,4.9,51.9,4.3,193,0.1,8615
2,Brimstone,0.96,13.8,14.4,7.1,51.2,6.2,202,0.1,12616
3,Reyna,1.12,16.8,14.9,4.8,50.7,11.2,242,0.1,22579
4,Chamber,1.02,14.7,14.4,3.5,50.7,2.2,210,0.1,4519
5,Jett,1.03,15.7,15.1,4.1,50.4,6.0,227,0.1,12203
6,Killjoy,0.94,13.1,13.9,4.3,50.3,6.9,194,0.2,14003
7,Breach,0.91,13.6,15,5.9,49.8,4.0,197,0.1,8088
8,Sage,0.86,12.4,14.4,6.8,49.8,12.5,181,0.1,25240
9,Viper,0.94,13.5,14.4,5.4,49.3,4.2,197,0.1,8473
10,Fade,0.89,13.1,14.7,6.2,49.3,4.2,191,0.1,8560
11,Raze,1,15.2,15.2,5,49.2,6.5,228,0.1,13164
12,Phoenix,1.05,15.4,14.7,4.6,49.0,3.8,225,0.1,7611
13,Skye,0.88,12.9,14.7,7.4,48.9,3.9,190,0.1,7975
14,Neon,0.99,15.4,15.6,4.4,48.9,3.8,224,0.1,7678
15,Cypher,0.95,13.5,14.3,5.1,48.8,3.2,193,0.1,6506
16,Sova,0.92,13.4,14.6,5.3,48.1,3.3,196,0.1,6686
17,KAY/O,0.86,12.9,15,8.1,47.6,3.3,193,0.1,6664
18,Omen,0.94,13.9,14.8,5.4,47.5,5.4,200,0.1,11032
19,Harbor,0.86,12.7,14.9,5.6,46.3,1.4,186,0.1,2774
20,Yoru,0.96,14.4,15.1,4.3,46.0,2.9,208,0.1,5848
21,Astra,0.97,14,14.4,5.3,44.9,0.8,199,0.1,1601
