Rank,Agent,KD,KDA,Win %,Pick %,Avg.,Score,First Blood %,Matches
1,Killjoy,0.96,13.2,13.7,4.4,50.9,6.4,196,0.2,12876
2,Gekko,0.93,13.6,14.6,5.1,50.5,4.4,194,0.1,8842
3,Raze,1,15.1,15.1,5,50.3,5.9,227,0.1,11939
4,Reyna,1.12,16.8,15,4.8,50.3,11.5,242,0.1,23312
5,Astra,1,14,14.1,5.6,49.9,1.3,198,0.1,2689
6,Sage,0.86,12.4,14.4,6.9,49.7,12.7,179,0.1,25838
7,Neon,0.97,15.3,15.7,4.4,49.6,3.3,223,0.1,6755
8,Fade,0.9,13.4,14.9,6.4,49.6,5.3,194,0.1,10822
9,Phoenix,1.03,15.4,15,4.8,49.4,3.9,224,0.1,7914
10,Omen,0.95,14,14.8,5.6,49.4,5.5,201,0.1,11172
11,Breach,0.91,13.7,15.1,6,49.3,1.7,199,0.1,3536
12,Jett,1.04,15.8,15.1,4.1,49.0,6.2,227,0.1,12601
13,Brimstone,0.93,13.5,14.5,7,49.0,4.3,199,0.1,8768
14,Skye,0.88,13,14.7,7.8,48.6,3.9,190,0.1,7998
15,Sova,0.93,13.5,14.6,5.5,48.2,3.8,197,0.1,7629
16,Chamber,1.02,14.7,14.4,3.5,48.0,2.7,207,0.1,5505
17,Viper,0.92,13.2,14.4,5.7,47.9,5.1,194,0.1,10364
18,Yoru,0.95,14.5,15.2,4.4,47.3,3.1,208,0.1,6261
19,Cypher,0.94,13.2,14,5,47.0,3.4,188,0.2,6865
20,KAY/O,0.84,12.9,15.2,8,45.4,3.5,191,0.1,7055
21,Harbor,0.83,12.5,15,5.8,45.1,2.0,181,0.1,4013
