Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win Pct.,Pick Pct.,Avg. Score,First Blood %,Matches
1,Gekko,Initiator,0.96,14.4,15,5.4,51.7,6.1,197,0.2,11892
2,Raze,Duelist,1.06,16.9,15.9,5,51.3,4.6,243,0.1,8945
3,Phoenix,Duelist,1.13,17.6,15.5,5,51.1,3.8,247,0.1,7384
4,Sage,Sentinel,0.91,13.6,14.9,7.3,50.8,8.6,189,0.1,16843
5,Brimstone,Controller,0.97,14.4,14.8,8.2,50.7,3.8,205,0.1,7507
6,Fade,Initiator,0.97,14.7,15.1,6.5,50.7,6.6,204,0.1,12881
7,Astra,Controller,1.04,15,14.5,6.5,50.4,3.6,206,0.2,7031
8,Reyna,Duelist,1.15,18,15.7,4.7,50.3,11.0,251,0.1,21431
9,Sova,Initiator,1,14.7,14.7,5.8,50.0,2.5,208,0.1,4936
10,Omen,Controller,0.97,14.8,15.3,6.7,49.4,3.5,206,0.1,6785
11,Yoru,Duelist,1.02,16,15.6,4.5,49.4,1.4,223,0.1,2723
12,Jett,Duelist,1.09,17.3,15.9,3.9,49.2,10.8,241,0.1,21111
13,Neon,Duelist,0.99,16.3,16.4,4.4,49.2,1.8,230,0.1,3514
14,Killjoy,Sentinel,1,14.3,14.3,3.9,49.1,5.6,201,0.2,10990
15,Cypher,Sentinel,1,14.6,14.6,4.9,49.0,4.6,200,0.1,8892
16,Breach,Initiator,0.94,14.5,15.5,6.7,48.9,1.5,204,0.1,2987
17,Skye,Initiator,0.94,14.4,15.3,7.8,48.7,3.7,200,0.1,7286
18,Harbor,Controller,0.9,13.6,15.1,6.3,48.6,3.1,190,0.1,6114
19,Chamber,Sentinel,1.09,16.2,14.8,3.1,48.3,3.2,219,0.1,6327
20,Viper,Controller,1,14.8,14.8,6.1,48.1,6.6,206,0.1,12962
21,KAY/O,Initiator,0.92,14.5,15.7,8.7,45.1,3.4,206,0.1,6723
