Rank,Agent,KD,KDA,Win %,Pick %,Avg.,Score,First Blood %,Matches
1,Brimstone,0.98,14.5,14.7,8.2,52.5,4.3,207,0.1,9876
2,Gekko,0.96,14.3,14.9,5.3,51.7,5.7,197,0.1,13218
3,Phoenix,1.15,17.7,15.5,4.9,50.8,3.9,249,0.1,9033
4,Sage,0.91,13.4,14.8,7.2,50.5,9.4,189,0.1,21817
5,Killjoy,1,14.2,14.2,4.1,50.4,5.4,200,0.2,12544
6,Raze,1.06,16.8,15.8,5,50.2,5.0,243,0.1,11533
7,Reyna,1.17,18.2,15.6,4.7,50.1,11.9,254,0.1,27503
8,Astra,1.04,15,14.4,6.3,50.0,3.0,207,0.2,6911
9,Fade,0.97,14.5,15.1,6.5,50.0,6.1,203,0.1,14025
10,Jett,1.11,17.4,15.7,3.9,49.9,9.9,244,0.1,22965
11,Cypher,1.01,14.5,14.4,5,49.4,4.0,200,0.2,9163
12,Viper,1.01,14.8,14.7,6,49.3,6.3,207,0.1,14516
13,Neon,1.02,16.6,16.2,4.3,49.3,2.1,235,0.1,4821
14,Sova,1,14.6,14.7,5.7,49.0,2.6,206,0.1,6058
15,Omen,0.98,14.9,15.2,6.4,48.2,4.1,208,0.1,9406
16,Skye,0.93,14.2,15.2,7.7,47.5,3.6,200,0.1,8396
17,KAY/O,0.93,14.3,15.4,8.4,47.2,3.5,206,0.1,8088
18,Chamber,1.09,16.1,14.8,3.1,47.1,3.2,219,0.1,7364
19,Breach,0.94,14.6,15.5,6.5,46.7,1.8,205,0.1,4101
20,Harbor,0.9,13.7,15.2,6,46.3,2.7,191,0.1,6270
21,Yoru,1.01,15.7,15.6,4.4,44.8,1.6,220,0.1,3713
