Rank,Agent,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,0.97,14.6,15,8.5,51.4,5.9,207,0.1,13709
2,Phoenix,1.14,17.6,15.5,4.6,50.6,3.8,247,0.1,8998
3,Gekko,0.96,14.4,15,5.2,50.5,5.4,198,0.1,12757
4,Killjoy,1,14.4,14.4,3.9,50.4,6.5,201,0.2,15119
5,Reyna,1.16,18.1,15.6,4.6,50.3,11.8,253,0.1,27711
6,Sage,0.93,13.9,14.9,7.1,50.1,9.9,193,0.1,23135
7,Fade,0.96,14.4,15,6.5,50.1,3.2,202,0.1,7587
8,Sova,1,14.7,14.7,5.6,50.0,5.4,207,0.1,12724
9,Breach,0.95,14.7,15.4,6.6,49.8,2.7,205,0.1,6231
10,Cypher,1,14.6,14.6,4.9,49.2,3.5,201,0.1,8270
11,Skye,0.95,14.3,15.1,7.4,49.0,3.7,201,0.1,8708
12,Omen,0.99,15,15.2,7.1,49.0,9.8,208,0.1,23039
13,Jett,1.1,17.4,15.9,3.9,49.0,10.7,242,0.1,25074
14,Astra,1.01,15,14.8,6.4,48.9,1.7,206,0.1,4020
15,Raze,1.06,16.8,15.9,4.8,48.8,5.4,242,0.1,12676
16,Chamber,1.09,16.2,14.9,3.1,48.8,2.7,221,0.1,6285
17,Neon,0.99,16.1,16.3,4.3,48.4,1.5,227,0.1,3589
18,Yoru,1.02,16.1,15.8,4.6,47.9,1.4,224,0.1,3294
19,Viper,0.98,14.3,14.7,5.6,46.9,1.4,203,0.1,3253
20,KAY/O,0.92,14.4,15.6,8.9,46.2,2.8,205,0.1,6559
21,Harbor,0.9,13.8,15.4,5.9,44.0,0.7,194,0.1,1533

