Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,Controller,0.96,14,14.5,7.3,52.1,5.4,204,0.1,12381
2,Killjoy,Sentinel,0.97,13.5,14,4.1,50.4,6.8,197,0.2,15638
3,Reyna,Duelist,1.13,17.3,15.2,4.6,50.3,11.8,247,0.1,27064
4,Gekko,Initiator,0.94,13.8,14.7,4.9,50.2,4.5,196,0.1,10297
5,Sage,Sentinel,0.9,13.2,14.6,6.9,50.1,12.4,188,0.1,28518
6,Phoenix,Duelist,1.08,16.3,15.1,4.6,49.9,3.8,235,0.1,8636
7,Raze,Duelist,1.03,15.8,15.4,4.9,49.8,6.1,233,0.1,13933
8,Breach,Initiator,0.93,14.1,15.2,5.9,49.6,2.3,202,0.1,5318
9,Jett,Duelist,1.08,16.5,15.3,4,49.6,7.0,236,0.1,16055
10,Fade,Initiator,0.92,13.8,15,6.3,49.6,3.9,196,0.1,9041
11,Astra,Controller,1.02,14.4,14.2,5.6,49.2,1.2,204,0.1,2780
12,Chamber,Sentinel,1.04,15.1,14.6,3.3,49.1,2.4,211,0.1,5504
13,Omen,Controller,0.98,14.5,14.9,6,48.9,8.5,206,0.1,19597
14,Sova,Initiator,0.96,14,14.5,5.3,48.8,4.6,201,0.1,10587
15,Neon,Duelist,0.98,15.5,15.8,4.3,48.8,2.8,224,0.1,6502
16,Cypher,Sentinel,0.98,14.1,14.4,5,48.3,3.2,199,0.1,7383
17,Skye,Initiator,0.92,13.8,15,7.4,47.9,3.9,198,0.1,9009
18,Viper,Controller,0.95,13.8,14.5,5.3,47.7,2.8,200,0.1,6373
19,KAY/O,Initiator,0.89,13.6,15.2,8.2,46.6,3.2,199,0.1,7289
20,Yoru,Duelist,0.97,14.9,15.3,4.2,46.0,2.6,213,0.1,5926
21,Harbor,Controller,0.88,13.6,15.4,5.8,44.2,1.1,192,0.1,2441
