Rank,Agent,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Phoenix,1.09,17,15.7,4.3,52.8,1.7,235,0.1,2856
2,Fade,0.95,14.5,15.2,6.3,50.8,2.4,201,0.1,3941
3,Killjoy,1.02,14.7,14.4,3.7,50.7,6.6,203,0.2,10986
4,Breach,0.93,14.7,15.8,6.3,50.7,0.7,203,0.1,1188
5,Gekko,0.96,14.6,15.2,4.8,50.5,6.4,197,0.1,10744
6,Sage,0.93,13.9,15,7.2,50.3,11.5,191,0.1,19361
7,Viper,1.01,15.1,14.9,5.8,50.0,12.9,208,0.2,21548
8,Jett,1.09,17.8,16.3,3.9,49.8,13.1,246,0.1,22010
9,Reyna,1.13,18.2,16.1,4.3,49.3,10.7,250,0.1,17940
10,Sova,0.99,14.7,14.9,5.4,49.3,9.4,203,0.2,15815
11,Raze,1.04,16.9,16.2,4.7,49.0,5.5,241,0.1,9187
12,Cypher,0.98,14.6,14.9,4.6,48.4,1.3,200,0.1,2123
13,Chamber,1.11,16.6,15,2.9,48.2,2.7,224,0.1,4535
14,Brimstone,0.97,14.7,15.2,7.3,47.9,1.9,207,0.1,3122
15,Astra,1.02,15.3,14.9,5.4,47.6,0.5,207,0.1,784
16,Skye,0.93,14.2,15.4,7.5,47.3,2.2,198,0.1,3630
17,Harbor,0.92,14,15.2,6,47.1,1.5,192,0.1,2559
18,Omen,0.99,15.4,15.7,6.1,47.1,3.7,212,0.1,6272
19,Yoru,0.99,15.7,15.9,4.2,46.2,1.0,216,0.1,1724
20,Neon,0.98,16.5,16.9,4.1,45.3,1.1,229,0.1,1845
21,KAY/O,0.94,14.7,15.7,9.1,45.0,3.3,209,0.1,5470
